type,lib,jour,nb,code,Code,flag_url
departement,Ariège,2020-03-18,8,NA,NA,NA
departement,Ariège,2020-03-19,8,NA,NA,NA
departement,Ariège,2020-03-20,10,NA,NA,NA
departement,Ariège,2020-03-21,12,NA,NA,NA
departement,Ariège,2020-03-22,12,NA,NA,NA
departement,Ariège,2020-03-23,18,NA,NA,NA
departement,Ariège,2020-03-24,18,NA,NA,NA
departement,Ariège,2020-03-27,26,NA,NA,NA
departement,Ariège,2020-03-28,26,NA,NA,NA
departement,Ariège,2020-03-25,28,NA,NA,NA
departement,Ariège,2020-03-26,28,NA,NA,NA
departement,Ariège,2020-03-29,30,NA,NA,NA
departement,Ariège,2020-03-30,36,NA,NA,NA
departement,Ariège,2020-03-31,42,NA,NA,NA
departement,Aube,2020-03-18,10,NA,NA,NA
departement,Aube,2020-03-19,14,NA,NA,NA
departement,Aube,2020-03-20,28,NA,NA,NA
departement,Aube,2020-03-21,28,NA,NA,NA
departement,Aube,2020-03-22,50,NA,NA,NA
departement,Aube,2020-03-23,78,NA,NA,NA
departement,Aube,2020-03-24,84,NA,NA,NA
departement,Aube,2020-03-25,124,NA,NA,NA
departement,Aube,2020-03-26,158,NA,NA,NA
departement,Aube,2020-03-27,164,NA,NA,NA
departement,Aube,2020-03-28,172,NA,NA,NA
departement,Aube,2020-03-29,174,NA,NA,NA
departement,Aube,2020-03-30,186,NA,NA,NA
departement,Aube,2020-03-31,206,NA,NA,NA
departement,Aude,2020-03-18,54,NA,NA,NA
departement,Aude,2020-03-19,86,NA,NA,NA
departement,Aude,2020-03-21,114,NA,NA,NA
departement,Aude,2020-03-20,116,NA,NA,NA
departement,Aude,2020-03-22,116,NA,NA,NA
departement,Aude,2020-03-24,138,NA,NA,NA
departement,Aude,2020-03-23,144,NA,NA,NA
departement,Aude,2020-03-25,162,NA,NA,NA
departement,Aude,2020-03-26,174,NA,NA,NA
departement,Aude,2020-03-27,200,NA,NA,NA
departement,Aude,2020-03-28,258,NA,NA,NA
departement,Aude,2020-03-29,276,NA,NA,NA
departement,Aude,2020-03-30,294,NA,NA,NA
departement,Aude,2020-03-31,302,NA,NA,NA
departement,Aveyron,2020-03-18,20,NA,NA,NA
departement,Aveyron,2020-03-19,28,NA,NA,NA
departement,Aveyron,2020-03-20,36,NA,NA,NA
departement,Aveyron,2020-03-21,36,NA,NA,NA
departement,Aveyron,2020-03-22,40,NA,NA,NA
departement,Aveyron,2020-03-23,42,NA,NA,NA
departement,Aveyron,2020-03-24,56,NA,NA,NA
departement,Aveyron,2020-03-25,64,NA,NA,NA
departement,Aveyron,2020-03-26,82,NA,NA,NA
departement,Aveyron,2020-03-27,96,NA,NA,NA
departement,Aveyron,2020-03-28,122,NA,NA,NA
departement,Aveyron,2020-03-29,124,NA,NA,NA
departement,Aveyron,2020-03-30,145,NA,NA,NA
departement,Aveyron,2020-03-31,160,NA,NA,NA
departement,Bas-Rhin,2020-03-18,571,NA,NA,NA
departement,Bas-Rhin,2020-03-19,824,NA,NA,NA
departement,Bas-Rhin,2020-03-20,1053,NA,NA,NA
departement,Bas-Rhin,2020-03-21,1209,NA,NA,NA
departement,Bas-Rhin,2020-03-22,1297,NA,NA,NA
departement,Bas-Rhin,2020-03-23,1593,NA,NA,NA
departement,Bas-Rhin,2020-03-24,1942,NA,NA,NA
departement,Bas-Rhin,2020-03-25,2200,NA,NA,NA
departement,Bas-Rhin,2020-03-26,2487,NA,NA,NA
departement,Bas-Rhin,2020-03-27,2695,NA,NA,NA
departement,Bas-Rhin,2020-03-28,2863,NA,NA,NA
departement,Bas-Rhin,2020-03-29,3050,NA,NA,NA
departement,Bas-Rhin,2020-03-30,3190,NA,NA,NA
departement,Bas-Rhin,2020-03-31,3437,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-18,343,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-19,497,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-20,622,NA,NA,NA
