type,lib,jour,nb,code,Code,flag_url
region,Pays de la Loire,2020-03-21,330,NA,NA,NA
region,Pays de la Loire,2020-03-22,398,NA,NA,NA
region,Pays de la Loire,2020-03-23,528,NA,NA,NA
region,Pays de la Loire,2020-03-24,672,NA,NA,NA
region,Pays de la Loire,2020-03-25,814,NA,NA,NA
region,Pays de la Loire,2020-03-26,983,NA,NA,NA
region,Pays de la Loire,2020-03-27,1250,NA,NA,NA
region,Pays de la Loire,2020-03-28,1493,NA,NA,NA
region,Pays de la Loire,2020-03-29,1661,NA,NA,NA
region,Pays de la Loire,2020-03-30,1761,NA,NA,NA
region,Pays de la Loire,2020-03-31,1937,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-18,797,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-19,1035,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-20,1248,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-21,1417,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-22,1581,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-23,1947,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-24,2243,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-25,2602,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-26,2965,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-27,3357,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-28,3726,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-29,4136,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-30,4643,NA,NA,NA
region,Provence-Alpes-Côte d'Azur,2020-03-31,5161,NA,NA,NA
country,Afghanistan,2020-01-22,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-23,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-24,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-25,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-26,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-27,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-28,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-29,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-30,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-01-31,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-01,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-02,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-03,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-04,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-05,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-06,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-07,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-08,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-09,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-10,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-11,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-12,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-13,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-14,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-15,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-16,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-17,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-18,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-19,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-20,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-21,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-22,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-23,0,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-24,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-25,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-26,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-27,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-28,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-02-29,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-01,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-02,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-03,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-04,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-05,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-06,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-07,1,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-08,4,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-09,4,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-10,5,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-11,7,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-12,7,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-13,7,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-14,11,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-15,16,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-16,21,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-17,22,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-18,22,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-19,22,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-20,24,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-21,24,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-22,40,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-23,40,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-24,74,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-25,84,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-26,94,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-27,110,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-28,110,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-29,120,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-30,170,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Afghanistan,2020-03-31,174,AF,af,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/af.svg
country,Albania,2020-01-22,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-23,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-24,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-25,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-26,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-27,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-28,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-29,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-30,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-01-31,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-01,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-02,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-03,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-04,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-05,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-06,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-07,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-08,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-09,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-10,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-11,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-12,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-13,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-14,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-15,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-16,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-17,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-18,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-19,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-20,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-21,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-22,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-23,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-24,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-25,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-26,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-27,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-28,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-02-29,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-01,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-02,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-03,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-04,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-05,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-06,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-07,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-08,0,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-09,2,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-10,10,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-11,12,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-12,23,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-13,33,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-14,38,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-15,42,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-16,51,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-17,55,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-18,59,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-19,64,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-20,70,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-21,76,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-22,89,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-23,104,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-24,123,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-25,146,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-26,174,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-27,186,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-28,197,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-29,212,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-30,223,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Albania,2020-03-31,243,AL,al,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/al.svg
country,Algeria,2020-01-22,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-23,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-24,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-25,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-26,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-27,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-28,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-29,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-30,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-01-31,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-01,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-02,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-03,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-04,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-05,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-06,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-07,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-08,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-09,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-10,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-11,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-12,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-13,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-14,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-15,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-16,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-17,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-18,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-19,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-20,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-21,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-22,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-23,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-24,0,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-25,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-26,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-27,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-28,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-02-29,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-01,1,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-02,3,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-03,5,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-04,12,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-05,12,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-06,17,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-07,17,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-08,19,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-09,20,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-10,20,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-11,20,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-12,24,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-13,26,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-14,37,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-15,48,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-16,54,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-17,60,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-18,74,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-19,87,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-20,90,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-21,139,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-22,201,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-23,230,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-24,264,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-25,302,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-26,367,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-27,409,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-28,454,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-29,511,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-30,584,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Algeria,2020-03-31,716,DZ,dz,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/dz.svg
country,Andorra,2020-01-22,0,AD,ad,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/ad.svg
country,Andorra,2020-01-23,0,AD,ad,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/ad.svg
country,Andorra,2020-01-24,0,AD,ad,https://cdn.rawgit.com/lipis/flag-icon-css/master/flags/4x3/ad.svg
